Question ID,Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
389,What is structural pattern matching match case primarily used for,Replacing if else for arithmetic,Switching on integer constants only,Destructuring and matching data shapes like sequences mappings and classes,Pattern matching only works with strings,Dynamic type casting at runtime,Destructuring and matching data shapes like sequences mappings and classes,match case can unpack and test shapes of data not just values.
390,What does functools.lru_cache do,Parallelizes the function across threads,Converts a function into a generator,Caches function results keyed by arguments to avoid recomputation,Stores results only for keyword arguments,Validates argument types at runtime,Caches function results keyed by arguments to avoid recomputation,lru_cache remembers results for argument combinations so repeats are instant.
391,What is the output of print(sum(i*i for i in range(4))),9,None of the above,Error,6,14,14,14 is correct based on how this feature behaves in Python.
392,What is the output of print(sum(i*i for i in range(6))),None of the above,25,36,55,15,55,55 is correct based on how this feature behaves in Python.
393,What is the value of s=pythonista then print(s[3:8]),pythonis,honis,None of the above,honista,honist,honis,honis is correct based on how this feature behaves in Python.
394,What is the output of print(sum(i*i for i in range(3))),5,4,None of the above,9,Error,5,5 is correct based on how this feature behaves in Python.
395,What is the output of print(sum(i*i for i in range(7))),21,Error,49,None of the above,91,91,91 is correct based on how this feature behaves in Python.
396,Which statement about list vs deque is accurate,deque provides faster appends and pops from both ends while list is fast at random access,list is always faster than deque for all operations,deque supports O1 random indexing,deque cannot be iterated,list has O1 inserts at the front,deque provides faster appends and pops from both ends while list is fast at random access,deque shines at both ends push and pop while list is better at random indexing.
397,What is the value of s=pythonista then print(s[0:4]),pyth,pythonista,pytho,None of the above,yth,pyth,pyth is correct based on how this feature behaves in Python.
398,What is the value of s=pythonista then print(s[3:8]),pythonis,honista,None of the above,honis,onis,honis,honis is correct based on how this feature behaves in Python.
399,What does the walrus operator do,It declares a type hint,It performs integer division,It assigns and returns a value inside an expression,It defines a lambda,It creates a context manager,It assigns and returns a value inside an expression,Walrus operator lets you assign a value as part of an expression.
400,Which statement about list vs deque is accurate,list has O1 inserts at the front,deque cannot be iterated,deque supports O1 random indexing,deque provides faster appends and pops from both ends while list is fast at random access,list is always faster than deque for all operations,deque provides faster appends and pops from both ends while list is fast at random access,deque shines at both ends push and pop while list is better at random indexing.
401,What is the output of print(sum(i*i for i in range(5))),25,10,None of the above,30,Error,30,Squares 0 1 4 9 16 add up to 30.
402,What is the value of s=pythonista then print(s[3:8]),honis,None of the above,pythonis,onis,honista,honis,honis is correct based on how this feature behaves in Python.
403,What is the value of s=pythonista then print(s[2:5]),None of the above,thonista,thon,pytho,tho,tho,tho is correct based on how this feature behaves in Python.
404,What is the output of print(sum(i*i for i in range(4))),16,9,14,Error,None of the above,14,14 is correct based on how this feature behaves in Python.
405,What is the output of print({i:i*i for i in range(3)}[2]),0,Error,3,4,2,4,Comprehension maps 2 to 4 so indexing by 2 returns 4.
406,What is the value of s=pythonista then print(s[1:3]),ythonista,yt,pyt,t,None of the above,yt,yt is correct based on how this feature behaves in Python.
407,What is the output of print(-3//2),-2,2,None of the above,0,-1,-2,Floor division rounds toward negative infinity so result is -2.
408,What is the output of print(sum(i*i for i in range(4))),14,None of the above,6,16,Error,14,14 is correct based on how this feature behaves in Python.
409,Which statement about list vs deque is accurate,list is always faster than deque for all operations,deque cannot be iterated,list has O1 inserts at the front,deque supports O1 random indexing,deque provides faster appends and pops from both ends while list is fast at random access,deque provides faster appends and pops from both ends while list is fast at random access,deque shines at both ends push and pop while list is better at random indexing.
410,What is the value of s=pythonista then print(s[3:8]),honist,honis,onis,honista,pythonis,honis,honis is correct based on how this feature behaves in Python.
411,What is the value of s=pythonista then print(s[2:6]),thoni,thonista,hon,python,thon,thon,thon is correct based on how this feature behaves in Python.
412,What is the value of s=pythonista then print(s[0:3]),pythonista,yt,pyth,None of the above,pyt,pyt,pyt is correct based on how this feature behaves in Python.
413,What does print((0 and 5) or 7) produce,FALSE,7,5,None of the above,0,7,0 is falsy so or returns the right value 7.
414,What is the output of print(sum(i*i for i in range(3))),9,5,3,None of the above,Error,5,5 is correct based on how this feature behaves in Python.
415,What is the result of s=abba; print(s.replace(b bb 1)),None of the above,abbba,abbaa,abbbba,abba,abbba,replace with count 1 replaces only the first match so one b becomes bb.
416,What is the value of s=pythonista then print(s[1:4]),None of the above,pyth,yth,ytho,th,yth,yth is correct based on how this feature behaves in Python.
417,What is the output of print(sum(i*i for i in range(3))),9,None of the above,5,3,4,5,5 is correct based on how this feature behaves in Python.
418,What is the output of print(sum(i*i for i in range(5))),30,25,10,Error,16,30,Squares 0 1 4 9 16 add up to 30.
419,What is the output of print(sum(i*i for i in range(5))),None of the above,Error,10,30,16,30,Squares 0 1 4 9 16 add up to 30.
420,What is the value of s=pythonista then print(s[2:5]),thonista,thon,tho,ho,pytho,tho,tho is correct based on how this feature behaves in Python.
421,What is the output of print(sum(i*i for i in range(6))),25,36,None of the above,Error,55,55,55 is correct based on how this feature behaves in Python.
422,What is the value of s=pythonista then print(s[2:6]),python,thoni,thonista,thon,None of the above,thon,thon is correct based on how this feature behaves in Python.
423,What is the value of s=pythonista then print(s[2:6]),python,None of the above,thon,thoni,hon,thon,thon is correct based on how this feature behaves in Python.
424,Which description of asyncio.gather is accurate,Blocks the event loop until all tasks finish via time sleep,Guarantees order of completion equals input order,Cancels all tasks on the first exception always,Runs multiple awaitables concurrently and aggregates their results,Starts new processes for each task,Runs multiple awaitables concurrently and aggregates their results,gather runs many coroutines at once and returns all results together.
425,What is the value of s=pythonista then print(s[0:4]),pytho,pythonista,pyth,None of the above,yth,pyth,pyth is correct based on how this feature behaves in Python.
426,What is output of print(bool(object())),0,FALSE,None of the above,TRUE,None,TRUE,Any object instance is truthy so bool is True.
427,What is the output of print(sum(i*i for i in range(6))),15,None of the above,55,25,Error,55,55 is correct based on how this feature behaves in Python.
428,What does bisect.insort do,Builds a heap from a list,Removes duplicates from a list,Sorts a list in place using mergesort,Inserts an item into a sorted list keeping it sorted,Performs a binary search returning an index only,Inserts an item into a sorted list keeping it sorted,insort inserts while keeping the list sorted using binary search.
429,What is the value of s=pythonista then print(s[3:5]),None of the above,o,pytho,hon,ho,ho,ho is correct based on how this feature behaves in Python.
430,What is the output of print(sum(i*i for i in range(4))),6,14,16,9,Error,14,14 is correct based on how this feature behaves in Python.
431,Which best describes __getattr__,None of the above,Called when attribute lookup fails allowing dynamic attribute handling,Called for every attribute access always,Called only for private attributes starting with underscore,Called when deleting attributes,Called when attribute lookup fails allowing dynamic attribute handling,It fires only when normal lookup fails letting you supply attributes dynamically.
432,Which statement about decorators is accurate,A decorator always speeds up function execution,A decorator must be a class not a function,A decorator changes the function name at runtime in CPython,A decorator can only be applied to async functions,A decorator wraps a function to modify behavior without changing the function code,A decorator wraps a function to modify behavior without changing the function code,A decorator takes a function and returns a new callable that adds behavior around it.
433,What is the value of s=pythonista then print(s[2:6]),hon,python,thoni,None of the above,thon,thon,thon is correct based on how this feature behaves in Python.
434,Which statement about float NaN is correct,NaN is treated as None by min and max,NaN is equal to 0 0 by default,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN compares greater than all numbers,NaN sorts to the beginning in all Python sorts,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN is special and never equals itself which is why equality tests fail.
435,What is the output of print(sum(i*i for i in range(7))),21,49,91,36,None of the above,91,91 is correct based on how this feature behaves in Python.
436,What is the output of print({i:i*i for i in range(3)}[2]),3,2,4,None of the above,0,4,Comprehension maps 2 to 4 so indexing by 2 returns 4.
437,What is the value of s=pythonista then print(s[1:6]),python,ythoni,ython,None of the above,ythonista,ython,ython is correct based on how this feature behaves in Python.
438,What does functools.lru_cache do,Stores results only for keyword arguments,Parallelizes the function across threads,Validates argument types at runtime,Converts a function into a generator,Caches function results keyed by arguments to avoid recomputation,Caches function results keyed by arguments to avoid recomputation,lru_cache remembers results for argument combinations so repeats are instant.
439,What is the value of s=pythonista then print(s[0:4]),pythonista,yth,pytho,pyth,None of the above,pyth,pyth is correct based on how this feature behaves in Python.
440,What does bisect.insort do,Inserts an item into a sorted list keeping it sorted,Builds a heap from a list,Performs a binary search returning an index only,Sorts a list in place using mergesort,Removes duplicates from a list,Inserts an item into a sorted list keeping it sorted,insort inserts while keeping the list sorted using binary search.
441,What does print((0 and 5) or 7) produce,5,0,FALSE,7,TRUE,7,0 is falsy so or returns the right value 7.
442,What is the output of print(sum(i*i for i in range(4))),16,14,None of the above,9,Error,14,14 is correct based on how this feature behaves in Python.
443,What is the output of print(sum(i*i for i in range(7))),Error,49,91,36,None of the above,91,91 is correct based on how this feature behaves in Python.
444,What is the value of s=pythonista then print(s[3:7]),honis,oni,pythoni,honi,honista,honi,honi is correct based on how this feature behaves in Python.
445,What is output of print({}.setdefault(x [])),{},None of the above,[],KeyError,None,[],[] is correct based on how this feature behaves in Python.
446,What is the output of print(sum(i*i for i in range(7))),21,Error,49,36,91,91,91 is correct based on how this feature behaves in Python.
447,What is the result of print(dict.fromkeys(aba 0)),{a: 0  b: 0},None of the above,{a:0 b:0 a:0},{b:0},{a: 0},{a: 0  b: 0},{a: 0  b: 0} is correct based on how this feature behaves in Python.
448,What is the value of s=pythonista then print(s[0:3]),pythonista,None of the above,pyth,pyt,yt,pyt,pyt is correct based on how this feature behaves in Python.
449,What is the output of print(sum(i*i for i in range(4))),14,None of the above,Error,9,16,14,14 is correct based on how this feature behaves in Python.
450,Which statement about __slots__ is correct,__slots__ speeds up all attribute access always,__slots__ can reduce memory by preventing instance dict creation,__slots__ enables multiple inheritance without MRO,__slots__ is required for dataclasses,__slots__ makes a class immutable,__slots__ can reduce memory by preventing instance dict creation,Slots remove the per instance dict so instances can be smaller.
451,What is the output of print(-3//2),None of the above,0,-2,1,-1,-2,Floor division rounds toward negative infinity so result is -2.
452,What is the output of print({a:1}.get(b) is None),None of the above,TRUE,KeyError,FALSE,None,TRUE,True is correct based on how this feature behaves in Python.
453,What is the output of print(sum(i*i for i in range(5))),10,16,25,Error,30,30,Squares 0 1 4 9 16 add up to 30.
454,What does print(type(range(3)).__name__) output,range,None of the above,tuple,iterator,generator,range,range objects have type name range.
455,What is the result of s=abba; print(s.replace(b bb 1)),abba,abbaa,abbba,None of the above,a bb a,abbba,replace with count 1 replaces only the first match so one b becomes bb.
456,What is the value of s=pythonista then print(s[3:8]),honista,pythonis,honist,honis,onis,honis,honis is correct based on how this feature behaves in Python.
457,What is the value of s=pythonista then print(s[2:7]),thonis,honi,thonista,pythoni,thoni,thoni,thoni is correct based on how this feature behaves in Python.
458,What is the output of print(sum(i*i for i in range(6))),Error,25,55,36,15,55,55 is correct based on how this feature behaves in Python.
459,Which description of asyncio.gather is accurate,Cancels all tasks on the first exception always,Blocks the event loop until all tasks finish via time sleep,Runs multiple awaitables concurrently and aggregates their results,Guarantees order of completion equals input order,Starts new processes for each task,Runs multiple awaitables concurrently and aggregates their results,gather runs many coroutines at once and returns all results together.
460,What does the walrus operator do,It creates a context manager,It assigns and returns a value inside an expression,It defines a lambda,It performs integer division,It declares a type hint,It assigns and returns a value inside an expression,Walrus operator lets you assign a value as part of an expression.
461,What is the result of print(dict.fromkeys(aba 0)),{b:0},{a: 0  b: 0},None of the above,{a:0 b:0 c:0},{a:0 b:0 a:0},{a: 0  b: 0},{a: 0  b: 0} is correct based on how this feature behaves in Python.
462,What is the value of s=pythonista then print(s[3:5]),honista,hon,ho,o,None of the above,ho,ho is correct based on how this feature behaves in Python.
463,Which best describes the Global Interpreter Lock GIL,It blocks C extensions from running in parallel,It disables asyncio,It allows only one thread to execute Python bytecode at a time per process,It locks the entire operating system scheduler,It prevents subprocesses from spawning,It allows only one thread to execute Python bytecode at a time per process,The GIL lets only one thread run Python bytecode at once inside a process.
464,What is the value of s=pythonista then print(s[3:8]),honis,onis,honista,None of the above,honist,honis,honis is correct based on how this feature behaves in Python.
465,What is the value of s=pythonista then print(s[3:8]),onis,None of the above,honist,pythonis,honis,honis,honis is correct based on how this feature behaves in Python.
466,What is the value of s=pythonista then print(s[1:3]),None of the above,ythonista,t,yt,pyt,yt,yt is correct based on how this feature behaves in Python.
467,Which statement about __slots__ is correct,__slots__ is required for dataclasses,__slots__ speeds up all attribute access always,__slots__ can reduce memory by preventing instance dict creation,__slots__ enables multiple inheritance without MRO,__slots__ makes a class immutable,__slots__ can reduce memory by preventing instance dict creation,Slots remove the per instance dict so instances can be smaller.
468,What is the value of s=pythonista then print(s[1:6]),python,ython,ythonista,None of the above,ythoni,ython,ython is correct based on how this feature behaves in Python.
469,What is the value of s=pythonista then print(s[2:4]),None of the above,tho,th,h,pyth,th,th is correct based on how this feature behaves in Python.
470,What is the value of s=pythonista then print(s[1:4]),None of the above,yth,pyth,ythonista,ytho,yth,yth is correct based on how this feature behaves in Python.
471,What does print((x:=len([1 2 3])) == 3 and x) output,None of the above,len list,3,None,FALSE,3,3 is correct based on how this feature behaves in Python.
472,What is the value of s=pythonista then print(s[1:4]),ythonista,pyth,th,yth,ytho,yth,yth is correct based on how this feature behaves in Python.
473,What does print(all([])) return,None,Error,TRUE,0,None of the above,TRUE,all of an empty iterable is True by definition vacuously true.
474,What is the output of print(sum(i*i for i in range(7))),Error,21,91,49,36,91,91 is correct based on how this feature behaves in Python.
475,What is the output of print(sum(i*i for i in range(3))),4,None of the above,9,5,Error,5,5 is correct based on how this feature behaves in Python.
476,What is the output of print(tuple(map(lambda x:x+1 (1 2)))),[2 3],(1 2 3),(2 3 4),(1 3),(2  3),(2  3),(2  3) is correct based on how this feature behaves in Python.
477,What does print((x:=len([1 2 3])) == 3 and x) output,None,3,None of the above,FALSE,len list,3,3 is correct based on how this feature behaves in Python.
478,What is the output of print(sum(i*i for i in range(6))),25,Error,None of the above,55,36,55,55 is correct based on how this feature behaves in Python.
479,What is the output of print(sum(i*i for i in range(4))),14,9,Error,16,None of the above,14,14 is correct based on how this feature behaves in Python.
480,Which statement about mutable default arguments is correct,A list used as a default parameter is shared across calls which can cause surprising bugs,The interpreter forbids using lists as defaults,Defaults are re evaluated on each call so this is safe,Only dict defaults are shared lists are not,This happens only in Python 2 not Python 3,A list used as a default parameter is shared across calls which can cause surprising bugs,Default values are evaluated once at function definition so a list is shared across calls.
481,What is the output of print(sum(i*i for i in range(7))),91,21,36,Error,None of the above,91,91 is correct based on how this feature behaves in Python.
482,What is the value of s=pythonista then print(s[0:4]),pythonista,None of the above,pytho,pyth,yth,pyth,pyth is correct based on how this feature behaves in Python.
483,What is the output of print({a:1}.get(b) is None),None,0,TRUE,KeyError,None of the above,TRUE,True is correct based on how this feature behaves in Python.
484,Which statement about descriptors is correct,Descriptors can only be used with metaclasses,Descriptors work only on built in types,Descriptors require slots to be enabled,Descriptors are only available in C extensions,A descriptor is an object that defines __get__ __set__ or __delete__ and controls attribute access,A descriptor is an object that defines __get__ __set__ or __delete__ and controls attribute access,Implementing __get__ __set__ or __delete__ lets an object control attribute access.
485,Which statement about descriptors is correct,Descriptors are only available in C extensions,Descriptors can only be used with metaclasses,A descriptor is an object that defines __get__ __set__ or __delete__ and controls attribute access,None of the above,Descriptors work only on built in types,A descriptor is an object that defines __get__ __set__ or __delete__ and controls attribute access,Implementing __get__ __set__ or __delete__ lets an object control attribute access.
486,Which statement about descriptors is correct,Descriptors can only be used with metaclasses,Descriptors work only on built in types,Descriptors are only available in C extensions,Descriptors require slots to be enabled,A descriptor is an object that defines __get__ __set__ or __delete__ and controls attribute access,A descriptor is an object that defines __get__ __set__ or __delete__ and controls attribute access,Implementing __get__ __set__ or __delete__ lets an object control attribute access.
487,What is the value of s=pythonista then print(s[2:5]),thon,thonista,tho,None of the above,pytho,tho,tho is correct based on how this feature behaves in Python.
488,What does print((0 and 5) or 7) produce,FALSE,0,None of the above,5,7,7,0 is falsy so or returns the right value 7.
489,What is the output of print(sum(i*i for i in range(7))),91,Error,49,21,None of the above,91,91 is correct based on how this feature behaves in Python.
490,What is the output of print(sum(i*i for i in range(5))),30,None of the above,16,Error,25,30,Squares 0 1 4 9 16 add up to 30.
491,Which method makes an object usable in a with statement,None of the above,__init__ and __del__,__enter__ and __exit__,__aenter__ and __aexit__ only,__get__ and __set__,__enter__ and __exit__,with calls __enter__ on enter and __exit__ on exit to handle setup and cleanup.
492,What is the output of print(sum(i*i for i in range(7))),36,91,Error,None of the above,49,91,91 is correct based on how this feature behaves in Python.
493,What is the value of s=pythonista then print(s[3:7]),honis,pythoni,honi,None of the above,oni,honi,honi is correct based on how this feature behaves in Python.
494,What is the output of print(sum(i*i for i in range(4))),None of the above,Error,14,9,16,14,14 is correct based on how this feature behaves in Python.
495,What is the output of print(sum(i*i for i in range(5))),10,16,25,30,None of the above,30,Squares 0 1 4 9 16 add up to 30.
496,What is a closure in Python,A lambda with no parameters,A class method bound to an instance,A function that closes files automatically,A function that captures variables from an enclosing scope even after that scope has finished,A function defined inside __init__ only,A function that captures variables from an enclosing scope even after that scope has finished,Closures remember variables from surrounding scope so they keep working after the scope ends.
497,What is the value of s=pythonista then print(s[0:2]),None of the above,y,pythonista,pyt,py,py,py is correct based on how this feature behaves in Python.
498,What is the value of s=pythonista then print(s[0:4]),yth,pyth,pythonista,pytho,None of the above,pyth,pyth is correct based on how this feature behaves in Python.
499,What is the value of s=pythonista then print(s[1:6]),ython,python,thon,ythoni,ythonista,ython,ython is correct based on how this feature behaves in Python.
500,What does the walrus operator do,It creates a context manager,It performs integer division,It assigns and returns a value inside an expression,It declares a type hint,It defines a lambda,It assigns and returns a value inside an expression,Walrus operator lets you assign a value as part of an expression.
