Question ID,Question,Option A,Option B,Option C,Option D,Answer,Explanation
479,What is the output of print(-9 * -3)?,-6,27,Error,26,27,"Multiplication of -9 and -3 gives 27, so 27 is right."
480,What is the output of print(7 * 3)?,22,20,21,Error,21,"Multiplication of 7 and 3 gives 21, so 21 is right."
481,"Which function returns an iterator of (index, value) pairs?",enumerate,zip,map,TRUE,enumerate,enumerate gives you index and value for each item as you iterate.
482,Which keyword prevents a dataclass from being mutable?,static=True,final=True,frozen=True,sealed=True,frozen=True,frozen=True is correct because it matches how this feature behaves in Python.
483,What is the output of print(4 * -8)?,-32,-4,-31,-33,-32,"Multiplication of 4 and -8 gives -32, so -32 is right."
484,What is the output of print(5 * 3)?,16,14,8,15,15,"Multiplication of 5 and 3 gives 15, so 15 is right."
485,What is the output of print(-1 * 1)?,-2,0,-1,Error,-1,"Multiplication of -1 and 1 gives -1, so -1 is right."
486,What is the output of print(-7 * 4)?,-29,-3,-28,-27,-28,"Multiplication of -7 and 4 gives -28, so -28 is right."
487,What is the output of print(-5 * 8)?,3,-40,-41,-13,-40,"Multiplication of -5 and 8 gives -40, so -40 is right."
488,Which built-in converts bytes to str?,bytes.decode,format,str.encode,repr,bytes.decode,bytes.decode is correct because it matches how this feature behaves in Python.
489,What is the output of print(-2 * 6)?,-12,Error,-13,4,-12,"Multiplication of -2 and 6 gives -12, so -12 is right."
490,"What is list(map(lambda x:x+1,[1,2]))?","[2,3,4]","[1,2]","[2, 3]","[3,4]","[2, 3]","[2, 3] is correct because it matches how this feature behaves in Python."
491,What is the output of print(5 * -3)?,2,-15,-16,-14,-15,"Multiplication of 5 and -3 gives -15, so -15 is right."
492,What is the output of print(8 * 1)?,9,7,8,Error,8,"Multiplication of 8 and 1 gives 8, so 8 is right."
493,"What is ''.join(['a','b'])?","['a','b']",ab,"a,b",a b,ab,join glues the strings together using the given separator; an empty separator just concatenates them.
494,What is the output of print(5 * 9)?,-4,44,45,14,45,"Multiplication of 5 and 9 gives 45, so 45 is right."
495,Which method returns a new sorted list without modifying the original?,order,sort,arrange,sorted,sorted,sorted is correct because it matches how this feature behaves in Python.
496,What does PEP stand for?,Python Extended Plan,Python Enhancement Proposal,TRUE,Python Engineering Plan,Python Enhancement Proposal,"PEP means Python Enhancement Proposal, which documents ideas and changes to the language."
497,What is the output of print(-8 * 9)?,-71,-73,-72,-17,-72,"Multiplication of -8 and 9 gives -72, so -72 is right."
498,What is the output of print(7 * 8)?,56,55,15,-1,56,"Multiplication of 7 and 8 gives 56, so 56 is right."
499,Which data structure is best for FIFO operations in collections?,list,tuple,collections.deque,set,collections.deque,"collections.deque is built for fast appends and pops from both ends, perfect for FIFO queues."
500,Which operator tests object identity?,in,equals,==,is,is,"is checks whether two names reference the same object, not just equal values."
